date,amount,currency,status
Sun Jun 16 2024 19:41:58 GMT+0000 (Coordinated Universal Time),500,inr,Pending
Sat May 25 2024 17:00:15 GMT+0000 (Coordinated Universal Time),1145,inr,Successful
Fri May 24 2024 07:00:07 GMT+0000 (Coordinated Universal Time),1054,inr,Successful
Wed May 22 2024 14:20:46 GMT+0000 (Coordinated Universal Time),1000,inr,Failed
Wed May 22 2024 03:36:43 GMT+0000 (Coordinated Universal Time),1000,inr,Successful
Tue May 21 2024 06:30:01 GMT+0000 (Coordinated Universal Time),1084,inr,Successful
Sun May 19 2024 13:14:38 GMT+0000 (Coordinated Universal Time),1070,inr,Successful
Sun May 19 2024 06:30:10 GMT+0000 (Coordinated Universal Time),1484,inr,Successful
Sat May 18 2024 13:25:26 GMT+0000 (Coordinated Universal Time),624,inr,Successful
Thu May 16 2024 07:33:16 GMT+0000 (Coordinated Universal Time),1085,inr,Successful
Wed May 15 2024 10:21:31 GMT+0000 (Coordinated Universal Time),909,inr,Successful
Tue May 14 2024 07:53:52 GMT+0000 (Coordinated Universal Time),1026,inr,Successful
Tue May 14 2024 07:52:45 GMT+0000 (Coordinated Universal Time),1026,inr,Failed
Tue May 14 2024 07:28:58 GMT+0000 (Coordinated Universal Time),1100,inr,Successful
Mon May 13 2024 13:20:04 GMT+0000 (Coordinated Universal Time),500,inr,Successful
Mon May 13 2024 07:16:29 GMT+0000 (Coordinated Universal Time),976,inr,Successful
Sun May 12 2024 12:35:16 GMT+0000 (Coordinated Universal Time),965,inr,Successful
Sun May 12 2024 07:22:12 GMT+0000 (Coordinated Universal Time),987,inr,Successful
Sat May 11 2024 12:35:15 GMT+0000 (Coordinated Universal Time),1140,inr,Successful
Fri May 10 2024 12:32:05 GMT+0000 (Coordinated Universal Time),950,inr,Successful
Thu May 09 2024 07:57:17 GMT+0000 (Coordinated Universal Time),975,inr,Successful
Wed May 08 2024 13:05:13 GMT+0000 (Coordinated Universal Time),1000,inr,Failed
Wed May 08 2024 12:32:00 GMT+0000 (Coordinated Universal Time),1000,inr,Successful
Wed May 08 2024 12:22:21 GMT+0000 (Coordinated Universal Time),999,inr,Failed
Wed May 08 2024 12:21:23 GMT+0000 (Coordinated Universal Time),1000,inr,Failed
Wed May 08 2024 12:20:34 GMT+0000 (Coordinated Universal Time),1000,inr,Failed
Tue May 07 2024 04:51:31 GMT+0000 (Coordinated Universal Time),1000,inr,Successful
Sun May 05 2024 19:50:12 GMT+0000 (Coordinated Universal Time),764,inr,Successful
Sun May 05 2024 11:46:29 GMT+0000 (Coordinated Universal Time),699,inr,Successful
Sun May 05 2024 06:43:07 GMT+0000 (Coordinated Universal Time),699,inr,Successful
Sat May 04 2024 06:05:19 GMT+0000 (Coordinated Universal Time),905,inr,Successful
Fri May 03 2024 03:48:18 GMT+0000 (Coordinated Universal Time),819,inr,Successful
Wed May 01 2024 19:46:46 GMT+0000 (Coordinated Universal Time),682,inr,Successful
Tue Apr 30 2024 17:45:11 GMT+0000 (Coordinated Universal Time),874,inr,Successful
Tue Apr 30 2024 13:13:20 GMT+0000 (Coordinated Universal Time),838,inr,Failed
